Beach_CardDescription,A trestle bridge from which I can take a boat to more islands.,一座栈桥，我可以从这里乘船去更多岛屿。
Bp_FLFDJ_CardDescription,A wind turbine that generates electricity.,一台风力发电机，可以产生电力。
Bp_FLFDJ_CardName,A wind turbine,风力发电机
Bp_FLFDJ_UnlockConditionsDesc,Need magnets,需要磁石
ChinaRoseEffect_Description,"Nourishes Yin and moistens the lung, induces diuresis, clears heat and detoxifies.",养阴润肺，利水渗湿，清热解毒。
Guil_Muwu_Enter,Enter the wooden house,进入木屋
Guil_Muwu_Exit,Leave the wooden house,离开木屋
Guil-Lantu_A,Read the blueprint carefully,精读蓝图
Guil-Lantu_The,Study the blueprint,研读蓝图
Guil-更多水果_冷冻,Freezing,冷冻
Rocks_ExplorationResults[2].Action.ActionName,Rocky Beach,岩滩
Rocks_ExplorationResults[3].Action.ActionName,Hidden Harbor,隐秘港湾
T-/45viKbiQ9zRIIFPilWRYEOk6MY=,I studied the empty blueprints,我研读了空的蓝图
T-/56ZrcKkJBhko3IDBdog464dMn4=,I can make medicine here.,我可以在这里制作药物。
T-/CsB0KkIR+G+4EvdsDXT5QAMJIs=,"Treated jasmine tea, quite tasty.",处理过的茉莉茶，蛮好喝的。
T-/h/RNfuVBPTMcT4UdRl/n7Yzww8=,Filled with wood chips,装填木屑
T-/lm3nmYmDNES2jljjzrd6zF54Vo=,"Treated milk, drinkable.",处理好的牛奶，可以喝。
T-/yZ6Zy6gtrMzmMbRQQaoffeqUzg=,Orchid preparation,兰花制剂
T-/ZUzqwxg1nD6d949W9hGJ4IT9XY=,A big clay ball,大粘土团
T-+kDogu1Qx8yriLe7oaA6ddgzChY=,A treadmill on which I can run.,一台跑步机，我可以在上面跑步。
T-+LPP6JaaViPp+s3meDWo/m/k7zk=,Aloe vera juice,芦荟汁
T-+qd15oN9F5uJhlR+GyR67F4ZMxQ=,Hidden Harbor,隐秘港湾
T-+TlA/GO7Ztm7LGNLF4r8ZqcPRdE=,You studied the technology blueprint and you made progress in your research.,你研读了科技蓝图，你的研究有了进展。
T-+VJ/nUOAHaur4VKzo3muLVRUwFg=,A common technology blueprint,普通的科技蓝图
T-+VQowC/lJLA3tgk9qzJvoFG+Q+s=,"A street lamp, which can provide me with lighting.",一盏路灯，可以为我提供照明。
T-0/CwqSTkUOrj9DrbXwWidO4ZTUM=,Build the second floor,修建二楼
T-0I1IfTMRChCDkNWNXEbI9IspxPg=,Hydroelectric generator-unpowered,水力发电机-未通电
T-0m3NqHNsQBXGG7ECSi315x/zl08=,Move to the trestle.,移动到栈桥。
T-0PP0VT0KCvx8QBpRXmvC68BRYnM=,Mining,采矿
T-18Fnk1jHK1w89QzuB3TE/Ish8H8=,Stone shelves,石制架子
T-1dsqaMEU/CDJNv+bZSpLYJK+9p0=,Extraction of coconut milk,榨椰奶
T-1FALMXwxh6Nx/aJOh6t6nte3YUA=,Number of mud piles,泥堆数量
T-1hYEXBcsIRY/49TEdvVy3nIVotc=,Refining blueprint,精制蓝图
T-1Ka0wjpcjRHTRdxNK07ppFBxbb8=,An airtight preserve that keeps the liquid in it well.,一个密闭的保鲜，可以很好的保存其中的液体。
T-1KyjKj+wcAumvIjZT/6wR4ZfdKA=,An island blessed by the god of light and shade.,一座受到光阴神祝福的岛屿。
T-1M1xgRJ/lrzpzDTTsQiWG+7B9Ik=,Weak orchid effect,弱兰花效果
T-1QKi0UtNarv6J/ig3avIVkqHA5g=,Apply,涂抹
T-25+ILmgFP5jWWn4KfvZO9cUz9BU=,Farmer,农夫
T-2CfrjzxLaem6HeUcgCwgfhM9APw=,Roof,屋顶
T-2FkR3gBADaTzHpSAjFzNVhXZjfw=,"A piece of ice! It is best not to eat it, it is not good for the stomach and intestines.",一块冰！最好别吃，对肠胃不好。
T-2GE63x3d45UrdyV/2fX4/9K0riU=,Squeeze strawberry juice,榨草莓汁
T-2GefiL2JmUVLrKHTfQymfkoAvCQ=,A hydroelectric generator that generates electricity.,一台水力发电机，可以产生电力。
T-2LL0CwBSbjDispouI4mjHaZFxhM=,Delivery,递交
T-2o0FGyFvqez2Z6erpK4orW+tngM=,To the hidden harbor,前往隐秘港湾
T-2qu9gyAKflQhVu/C9KyjbTLkEIM=,Chrysanthemum bush,菊花丛
T-2tZyDCkeTfpOFXI9CaYR/hZKvqg=,Firing glass,烧制玻璃
T-2W915lM8SUPlv8F+tBoay5AgABI=,Vegetable points,蔬菜点数
T-3+mISF4FMnALYzt86TksoYARRY0=,A freezer,一台冰柜
T-33L1I4LWEQYJI3ZGlqsPgBujook=,A water dispenser,一个饮水机
T-38V0k47xi8yjbMzSyvZuATugQ7M=,A water dispenser that boils water and keeps it warm,一台饮水机，可以烧开水并保温。
T-3Fe8ceqGowsQOx+w9CsT4tbVCs4=,A stone bath,石浴池
T-3fP4wZuYoqfoBkHtuGcUuoagoxo=,Baking leather,烘烤皮革
T-3IWJ29aa+H7B/dJKM6Gq/urZTSk=,A crude technological blueprint,粗糙的科技蓝图
T-3J0sd2uM6C1IIwRqKKh+oAMnjvc=,Need leaves,需要树叶
T-3lgfmbXFwLoGb6PuWZI110rHGzE=,Loaded with seabird dung,装填海鸟粪
T-3YVuN+LWZ0wSvHnmEOwLTlferEU=,A cone ground from flint to make stone sculptures,一个由燧石磨成的锥子，可以制作石雕。
T-4dXzLiAnbqlp+kkyw17A7wRAJ2o=,Build a cellar,修建地窖
T-4esbDvQ3uj3gnXRHv6Aby6IK6iw=,Requires silicon,需要硅
T-4kNzm5ALRiWcJll35GQAnYtmeAc=,Trestle bridge,栈桥
T-4okMWpaHpGx8hjue7j5U+yZrXVo=,Kava preparation,卡瓦制剂
T-4RWHcTxUWZFdkVwz1VWY3/klEhs=,"A rough technological blueprint, which can be studied to speed up the research process by studying it (2TP), but studying it takes more time.",一张粗糙的科技蓝图，可以通过研读它来加快研究进程（2TP），但研读需要花更多时间。
T-4zsRsLp0tGIk2cEOg0v+DlJK5Dc=,"Treated chrysanthemum tea, quite tasty.",处理过的菊花茶，蛮好喝的。
T-50G632JHT+lF8KPshKhIIqxapzU=,Yard,院子
T-53wAyKP7V9kwal08H/xX2ab7nlY=,Produces large mud brick blocks,产出大泥砖块
T-5B0SOVNEX0p3jsRw1eMk+JfvdCM=,A magnificent sculpture that can even hold water.,一座华丽的雕塑，甚至可以装水。
T-5bvz42pXQeEtaZn7Mt90ghcOT+s=,See the view,看风景
T-5hyb/UB3ObOPsZc6Za16wcRRF5s=,Tailor's table-not electrified,裁缝台-未通电
T-5PxYRrfFfWQ9PUL0/93HVp9XuVc=,Take a comfortable bath,洗舒服的澡
T-5Vbc1DoG2wO5Cu6T4mTWzns33Yg=,Dismantle,拆除
T-5Vt+O6c6vu89JduqQrESUg2HLRY=,Turn off the air conditioner,关空调
T-63ALRGMlgCLZjB8z15EaNpUMybU=,Rowing to Bird Rock Island.,划船去鸟岩岛。
T-6cZFTTPsP99cgc3t8+vpeeTDPsM=,Medicine table-energized,制药台-通电
T-6HJN4GYBYETcL/2+/fAc+60LKIc=,Go to Nal's Valley ......,前往纳尔之谷……
T-6MprVvhRDfZtmyw0gsqmXHlbVT4=,Go to the yard,去院子
T-6wl9WgiN8WWRop/RX5tKEnpVbyg=,Refrigerator,冰箱
T-7370fveyJMiVaK3/ZvSPjJOlDdc=,I can make medicine here,我可以在这里制作药物
T-7mp/Z6AVae8eCyrr3FIuIsfoBX4=,Rowing to the island of Nofika.,划船去诺菲卡岛。
T-7OYIuHjZ/H6aG6FRhrPMeSP6vUw=,A beautiful window,一扇美丽的窗户
T-7sVeIQzccYQKV49sPQSxYNIO7v8=,Need twigs or long wooden sticks,需要小树枝or长木棍
T-8bLjWN2SIveB276lA18v6bDPYDg=,"The valley of Nal is a beautiful canyon between the rocky beach and the hidden harbor, where you can find ""magnets"".",纳尔之谷是位于岩滩和隐秘港湾之间的一道美丽的峡谷，在这里可以发现“磁石”。
T-8byt0gDHlMxIRSekkRAzpw6tyXY=,Juicing,榨汁
T-8ekKu7zfhDxtj2j52JPb+QTIo4Y=,Simmering the kava preparation,熬制卡瓦制剂
T-8uI/08nLNU0HC/hNofpQtjCQ/mk=,Leaving the trestle bridge.,离开栈桥。
T-915hYxaWqPSUAJMtSD5xZJCv+H0=,Line measure,线量
T-93XHMW8oHHQZhuZpjvoRFKwTm58=,Banana juice,香蕉汁
T-95Q2et4K6+GoWCYgacz1mgHFA/E=,Planting chrysanthemums,种植菊花
T-9e1tZmdyXY9Z/9Iplibc55SFBU8=,Baking the clay,烘烤泥土
T-9f0qHFzMCs4IK1UdQNV96pIMpm0=,Produce rotting matter,产出腐烂物
T-9qe1wrRTBB4dJli8IlgrlcEvvyg=,A tailoring table where you need to add fine thread as fuel to mend clothes.,一个裁缝台，需要添加细线作为燃料，可以修补衣服。
T-9u3yV4p0YerrdaPtrQgN/k/uuIM=,I can mend clothes here,我可以在这里修补衣物
T-A9LrHMO6iMdWxsKdN4WjQPR9GPk=,Amount of decaying matter,腐烂物量
T-adWa9AZNTzb0Fw9oe32C8wi6rqE=,Silicon,硅
T-alDUdbT4NZdDVj2ntHVrAoLhWZA=,Stairs leading to the second floor of the wooden house,通往木屋二楼的楼梯
T-amWrhoiBLLqz+LQpGTybtMbsS8g=,Flower table,花桌
T-AoRI+br1T3sXzu1/J/Hk3MUAV3M=,Fuel,燃料
T-apba0J7UxjlEN1UjP7aXeL3DkLo=,A place to call home!,一个可以被称为家的地方！
T-apcfKQwxHiN8Ug6DEGqFKU4hAjs=,Oil extraction,榨油
T-aR01cE+GTcyVEZbi5z/bGRQGV6o=,Roasting table - powering up,烤制台-通电
T-ASXJ6negfiTIIDlIZ0h3XWkrKRc=,Baking table,烤制台
T-aUSh5x4OoMdj6328jdry3HsJSl8=,A magnificent sculpture,一座华丽的雕塑
T-aW06DdHS8NrLLTvT5LnnS6JrxCk=,A coil of wire to connect the equipment to the grid.,一卷电线，可以把设备接入电网。
T-AYCh9lfSjK3ctuVkTk9m392GFF4=,Need stone,需要石头
T-AzIb8Pmj47+8Qo4dqo8iQFOEwfE=,Electricity provided by various devices that can feed other devices.,由各种设备提供的电力，可以供给其他设备。
T-b4wol6Ys6gB2P3qh5XRB16+6CM0=,A macaque generator that generates electricity.,一台猕猴发电机，可以产生电力。
T-bCCWf4oi7iL19KRX3koCRxAIKeQ=,Ice,冰
T-BDN2bySPpgvvQy4C29G/8QscwSw=,"Chrysanthemum is one of the ten most famous flowers in China, one of the four gentlemen of flowers (plum, orchid, bamboo and chrysanthemum), and one of the four major cut flowers in the world (chrysanthemum, moonflower, carnation and iris) with the highest production. Because of the chrysanthemum's cold and proud character, Tao Yuanming's famous line ""Picking chrysanthemums under the eastern hedge, seeing the southern mountains at ease.",菊花是中国十大名花之一，花中四君子（梅兰竹菊）之一，也是世界四大切花（菊花、月季、康乃馨、唐菖蒲）之一，产量居首。因菊花具有清寒傲雪的品格，才有陶渊明的“采菊东篱下，悠然见南山”的名句。
T-BFIcNkBK4oahrrzd5neycV3j7io=,Move to the trestle bridge ......,移动到栈桥……
T-Bfz5yWOE/7QcR7C1HcT5FNwGlJI=,I planted some chrysanthemums,我种下了一些菊花
T-bPe3O8RogMlR1tSz7bs+FIYaSXA=,Turn off the lights,关灯
T-bqXB6PgyoBcLBDip5wOcR7fxMWk=,A common science and technology blueprint can be read to speed up the research process (2TP).,一张普通的科技蓝图，可以通过研读蓝图来加快研究进程（2TP）。
T-BvV9+rDDmY9cQdrdGhexnHcGsh0=,Liquid protection,液体保护
T-byXKiGBqDMaPAczTSvHnH4hk5Ck=,Connect to the grid,接入电网
T-Bz17JzUs1RKzLnKRsk2FUR7p1V4=,Cooking station - electrify,烹饪台-通电
T-C0z573bDJfrQ/1W3xEy0AA76/Sc=,Build log cabin cellar,修建木屋地窖
T-C6GJBTwNxnbvd9Es2vwp8HQAVKI=,Leaving,离开
T-CakV7Fq7AWB5kdX8m88plVdjgGw=,"A piece of zinc, an important raw material for making a simple battery",一块锌，是制作简易电池的重要原料。
T-CgfvzWMgTKLSRFQn2PPRbZ6SijE=,Hydroelectric generator-energized,水力发电机-通电
T-cNO5UKYSO71ixXL7P+w3xz2GTSM=,Storage area,储存区
T-coePZsxT8lSeVsREdhj0j2ve7fA=,Exploration complete,探索完毕
T-CPy8Dawb6DM4wbJkCWhKh6W3AhU=,Windows,窗户
T-D0jlNVkWM2BQQdord6eGvZWktFQ=,Air conditioning,空调
T-d1AyXOX9yQmsDvfLV1Jc0rTsT5s=,Sun lamps (on),太阳灯（开）
T-D6r/oTtcaWWz+E5Ik4ALzW6EF+k=,"Preparation made from coffee beans, drinkable.",咖啡豆制成的制剂，可以喝。
T-D7nnK+NdYg+SQ+C/F+pS7t04fb0=,Roof modification,改建屋顶
T-d9KRjufGwgmQwtGbacfFozON75M=,Water is turned on!,水开了！
T-DChviKgYMwXzgoe1YbTlxQqcYLA=,"Wires are important tools to connect generators and appliances to the power grid, and are made using copper plates.",电线是连通发电机、用电器与电网的重要工具，使用铜板制作。
T-DF5/cGwhba+1OuOI7eH0Maoaa4c=,A preservation bucket!,一个保鲜桶！
T-DUKM2hvGPczkEsRljp0Ok36snpE=,Amount of feces,粪便量
T-Duzy9rrw2ComhNkbnAkBMniE6PY=,Rowing in a boat ......,划船中……
T-DV0FsIsBLW/elZKy0gY6y4YmmVc=,Freezer,冰柜
T-DYdH3B7N25bX3Yv5kgB307rJU+w=,Not enough water!,水不够！
T-dZh6limxWBhNJc+0VQstnCG2Q5I=,Drinking,饮用
T-e2GNrBKZYHPx4qTNWs37BOaQmjA=,Making aloe vera cream,制作芦荟膏
T-e62BuY/ej+O1ViVUEYdnCVudDkg=,A trestle bridge from which I can take a boat to more islands.,一座栈桥，我可以从这里乘船去更多岛屿。
T-EBkcM80Db7SrC+0C9FYawz9EVb8=,Paddle to Alkiak Island.,划船去阿尔基克岛。
T-EBxUlBLZGlzuLSro9g8OcaOrzlQ=,Need small rocks,需要小石头
T-eDjdbLd/g0sxuRCM6AcQt+IDqjc=,"A fire generator filled with fuel to produce electricity, but first I need to wire it into the grid.",一台充满燃料的火力发电机，可以产生电力，不过我首先需要用电线把它接入电网。
T-EtYxoIvHAMODZ7iQ24ZGVLCoVOA=,"A piece of silicon, which is an important raw material for solar energy and electronic technology.",一块硅，是太阳能及电子科技的重要原料。
T-exTUfU/OGwC/9WN5de+2SzShZmc=,Change to blow hot air,改吹热风
T-EXW1Gjisp56EOvWHjddZMWqyz/E=,A solar generator-unpowered,太阳能发电机-未通电
T-f1QdolEsgYDWOv16Pr5lobFVwYU=,I can make simple dishes here.,我可以在这里制作简单料理。
T-f47j612phmMnXCpS1lsVdGJzKPU=,Replenish vegetables,补充蔬菜
T-FC92qhpqR4AUTCLRYURwNUkN230=,Leaving the trestle ......,离开栈桥……
T-fDKLrh6h3qb57jJcwcIGf3j8OEI=,"A solar generator that produces electricity, but I first need to wire it into the grid.",一台太阳能发电机，可以产生电力，不过我首先需要用电线把它接入电网。
T-FFulARlhK/ffR6m7MQQtvJXshaU=,Simmering orchid preparation,熬制兰花制剂
T-fKAc1ym23AODsXp5K6CfViPUdZg=,Preservation bucket,保鲜桶
T-fMkYBKSFVVsARgBEXrll1mPFfIQ=,Stairs,楼梯
T-FO3u9l+CI+/jZFA4gm6Q4Ur0A2E=,Log cabin roof,木屋屋顶
T-FOL0ataKDTBscYJdza7QkthAWm0=,Blowing cold air,吹冷风
T-FRTfBQNzDe0Ki9UD9wuihwpLn+4=,Orchid effect,兰花效果
T-fUH2o1w6lEztKygY7XAZNZpPQF0=,A piece of glass!,一块玻璃！
T-fuJ32meWszrb3exO0REs9mO7wqg=,Sulfur,硫磺
T-FXbCwk1Jvu4GMVRMOSE31cn6M1c=,Produces sulfur,产出硫磺
T-G/VBO2UTXM1oJ1IjZyvNycmjzIM=,Electric refrigerator,电冰箱
T-G5geU2wFKtSJSGMgXM7rqE6hJAs=,tag-edible liquid,tag-可食用液体
T-GBBWmKiIEZzfdCam/Ruz7ShW08M=,A valley connecting two bays where I can find magnets.,连通两处海湾的山谷，我可以在这里找到磁石。
T-GBIeFJh3FkisdePeWRTYVtnFRII=,An artificially delineated storage area that has no effect,一个人为划定的储存区，没有任何效果。
T-gBKFF621ydVfbK/Hb4VBhj/i3O0=,Boiling essential oils,熬制精油
T-gdF4QDkvtSzPR3EXfUsHnUNwAas=,Produces delicate dishes,产出精致的料理
T-GDpzbsMauybpSgIac2of6fQLkXY=,Back to the second floor,回二楼
T-gHE9WEaiCeWT0XeUhOfm3Ak7kFc=,"Treated orchid tea, quite tasty.",处理过的兰花茶，蛮好喝的。
T-GK2fJVk5laYRNSbT+LZECo6vrnw=,"Silicon is an important component of various microelectronic components and solar technology, and you can find it on ""Nofika Island"". In order to get to ""Nofika Island"", you need to build a ""bridge"" at the ""beach"" and then build a ""boat"" in the ""bridge"". Build a ""boat"".",硅是各种微电子原件及太阳能科技的重要组成部分，你可以在“诺菲卡岛”发现它。为了前往“诺菲卡岛”，你需要在“沙滩”修建“栈桥”，然后在“栈桥”中修建“船只”。
T-gLO2Z8R5QmsfEMiuNSHC9Fx2Wyc=,An air conditioner!,一台空调！
T-gMgy3tItTTZ6cSYqYDoWFacz6VY=,Wood points,木材点数
T-Gq/sXoH4/bXoLemw4TlVXoE95UU=,Go to the roof,去屋顶
T-gRp3EIGVr4V3b3bHHfls/ahsDsQ=,View,观景
T-GrTQPOf24mGuMFnXDsivsPQi3Ls=,Cut,切开
T-gtdn+6JPSJ0e9bBpvU50PjhQwAY=,"The Chinese have always regarded orchids as a symbol of purity and elegance, and together with ""plum, bamboo and chrysanthemum"", they are known as the ""Four Gentlemen"". Usually, ""orchid"" is used as a metaphor for the beauty of poetry and literature, and ""orchid friendship"" is used as a metaphor for the truth of friendship. Some people also use orchids to express pure love.",中国人历来把兰花看做是高洁典雅的象征，并与“梅、竹、菊”并列，合称“四君子”。通常以“兰章”喻诗文之美，以“兰交”喻友谊之真。也有借兰来表达纯洁的爱情。
T-GxHamR5JF6L31kMVvXdIgIoopOQ=,Vessel,船只
T-h+XNnFIu1luq8Z7VRg/L+ALDad8=,"An artificially designated storage area, without any effect.",人为划定的一个储存区，没有任何效果。
T-h2yyWuZPzi3brKUaabx4KCf6SaE=,Jujube juice,枣汁
T-h77/QXkN4oBtYfW3oFy98Ekc0WQ=,Jasmine honey tea,茉莉蜜茶
T-h7B9RTPzgnErP9j/rrWA3k9KLew=,"A street light that provides me with illumination, provided I am first electrified with wires.",一盏路灯，可以为我提供照明，前提是我先用电线通上电。
T-H8GvxcVe2MDMKPmXFbU8rOTDcig=,Continue,继续
T-h97ZF4KRKpqUtKz2RzvQ9v7g+ho=,Chrysanthemum preparation,菊花制剂
T-hAP7nDIsBnA6eMavvCAqx4WQRA8=,"A treated ginger drink, quite tasty.",处理过的生姜饮品，蛮好喝的。
T-hAYPHmMkMsUniih8zpkM7rvm6lM=,A stone cone to polish the stones.,一个石锥，可以打磨石头。
T-hbV49SzurqVMjls2VofbjEKbmPs=,A simple refrigerator.,一台简易的冰箱。
T-HdpBqGWzoKbr1NZQQd5pNXpP1Dw=,Insufficient mud pile,泥堆不足
T-HePGFRmIOTtRrTDpdPEqhCKLx8Y=,Tailoring table-energized,裁缝台-通电
T-hhEf9sw1KoY/fJmm+3nMN882mR0=,Glass is baked in sand on a baking table!,玻璃是用沙子在烤制台烤出来的！
T-HIHJz29VIZkHgQfkFHBfbG119kc=,"A hydroelectric generator that generates electricity, though I first need to wire it to the grid.",一台水力发电机，可以产生电力，不过我首先需要用电线把它接入电网。
T-HiWdgpUPOrTMjW1tC5AuVVu89qg=,"Exquisite dishes made by the cooking table, which solves the trouble of cooking to some extent.",由烹饪台制作的精致的料理，在一定程度上解决了做饭的烦恼。
T-HlMoPbTFew2O8PcUeuFC1Mzc54w=,Large mud brick blocks,大泥砖块
T-HOw+mbHWJqBbjNhHgLDLKT6jUaA=,Building a yard,修建院子
T-HSvsk25zbKpeNqstd73r5klGRi4=,"Magnet is an important raw material for all kinds of generators, and you can find it in the ""Valley of Nar"".",磁石是各种发电机的重要原料，你可以在“纳尔之谷”找到它。
T-HT28y7qfjM1Og+VvKtrLLOcmkwE=,Stairs leading to the wooden house and building,通往木屋而楼的楼梯
T-hxEojqPg640srqGm/wUz0eXa5o8=,"A research table, but I need to power it up before I can use it.",一个研究台，不过我需要先通电才能使用。
T-Hyq7aCccOcPok0LN/u0VGYQHg1Q=,Insulation,保温
T-I67zu2Yo4dZjrC6YPPLP/Di8xq4=,A farmer with whom you can exchange leaves for milk.,一位农夫，你可以用树叶与他交换牛奶。
T-I7uqAOWpI+i7xprXqI8u1IrCSqE=,Make sweet dew,制作杨枝甘露
